Geracao,ID_Original,Cromossomo,Distancia_KM,Tempo_H,Pedagio_R$
59,67,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
59,68,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
59,69,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
59,70,1 - 3 - 2 - 7 - 8 - 5 - 4 - 9 - 6 - 0,415.69,92.00,205.00
59,71,9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,409.09,86.50,220.00
59,72,1 - 3 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,391.36,84.00,275.00
59,73,1 - 3 - 2 - 8 - 7 - 4 - 5 - 9 - 6 - 0,381.84,74.00,310.00
59,74,5 - 8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4,384.35,75.50,287.00
59,75,5 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7 - 4,372.45,72.00,316.00
59,76,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
59,77,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
59,78,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
59,79,5 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7 - 4,372.45,72.00,316.00
59,80,4 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 5,406.30,90.00,211.00
59,81,5 - 8 - 7 - 9 - 6 - 0 - 3 - 1 - 2 - 4,374.94,83.50,290.00
59,82,7 - 8 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 4,373.70,73.50,315.00
59,83,5 - 8 - 7 - 9 - 6 - 0 - 3 - 1 - 2 - 4,374.94,83.50,290.00
59,84,7 - 4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 8,375.24,68.50,325.00
59,85,4 - 5 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7,372.45,72.00,316.00
59,86,6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,424.26,85.50,217.00
59,87,5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2 - 4,378.60,68.00,371.00
59,88,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
59,89,5 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7 - 4,372.45,72.00,316.00
59,90,4 - 9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 5,409.09,86.50,220.00
59,91,6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,424.26,85.50,217.00
59,92,5 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 4,366.06,72.00,318.00
59,93,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
59,94,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
